id,date,age,gender,city,employment,marital_status,income,years_experience,education_years,credit_score,debt,savings,study_hours,sleep_hours,attendance_pct,screen_time_hours,exercise_days_per_week,projects_completed,social_media_hours,internet_usage,previous_score,lifestyle_score,loan_approved,annual_salary
51,2023-02-20,21,Female,Pokhara,Unemployed,Single,124276.0,0.0,13.1,681.0,38209.0,145160.0,1.9,6.9,67.6,5.6,2,3,0.1,Medium,46.0,42.69,Yes,250000.0
426,2024-03-01,26,Female,Butwal,Employed,Single,63947.0,3.0,11.9,833.0,21052.0,4641.0,5.1,6.4,86.5,3.1,7,3,2.9,Medium,67.2,66.78,No,250000.0
205,2023-07-24,56,Male,Bhaktapur,Unemployed,Married,185104.0,27.9,11.3,719.0,117285.0,49488.0,1.4,5.8,55.9,5.7,4,6,4.2,Medium,46.4,38.57,No,250000.0
86,2023-03-27,65,Male,Pokhara,Employed,Single,70835.0,45.0,14.4,663.0,2151.0,23118.0,6.4,5.7,93.1,6.1,5,3,3.6,High,85.5,64.58,Yes,250000.0
799,2025-03-09,58,Female,Biratnagar,Self-employed,Married,12455.0,40.3,12.7,763.0,548.0,7437.0,2.6,6.4,100.0,6.9,1,3,3.1,Medium,53.5,46.43,No,250000.0
909,2025-06-27,35,Male,Butwal,Self-employed,Single,57409.0,12.4,13.0,644.0,27687.0,66558.0,3.6,8.4,74.0,7.6,6,3,3.6,Medium,42.7,52.55,Yes,250000.0
493,2024-05-07,45,Male,Lalitpur,Student,Married,52969.0,19.5,15.5,535.0,15389.0,10412.0,1.7,7.2,93.3,6.6,0,5,1.6,Medium,65.6,43.98,No,250000.0
162,2023-06-11,49,Male,Kathmandu,Employed,Married,53453.0,22.0,11.3,565.0,0.0,19287.0,6.6,8.6,91.1,1.6,5,1,2.0,High,74.3,68.11,No,250000.0
309,2023-11-05,58,Female,Chitwan,Student,Married,94805.0,30.3,13.5,755.0,23838.0,95423.0,6.2,5.3,64.1,9.5,2,1,0.5,High,57.5,41.39,Yes,250000.0
677,2024-11-07,62,Male,Kathmandu,Student,Married,80771.0,42.7,,762.0,31668.0,68247.0,6.0,5.8,85.1,6.0,0,8,3.7,Low,56.4,46.32,Yes,250000.0
620,2024-09-11,41,Female,Chitwan,Employed,Married,35114.0,15.7,16.9,658.0,0.0,25083.0,3.4,5.7,41.2,5.0,4,6,3.7,High,65.4,39.51,No,250000.0
744,2025-01-13,20,Male,Chitwan,Student,Married,39212.0,0.0,13.3,665.0,11905.0,19682.0,4.7,8.4,100.0,5.6,3,4,1.9,High,72.8,59.73,Yes,250000.0
877,2025-05-26,51,Male,Chitwan,Student,Single,75903.0,25.9,16.6,749.0,23563.0,17427.0,13.0,6.1,88.5,8.6,2,1,3.7,Medium,71.0,65.68,No,250000.0
96,2023-04-06,64,Female,Biratnagar,Employed,Married,12427.0,44.0,13.3,850.0,,0.0,1.9,8.8,100.0,6.0,0,4,2.1,High,62.8,37.17,No,250000.0
910,2025-06-28,47,Female,Pokhara,Employed,Single,87350.0,26.5,12.3,618.0,30863.0,78037.0,5.3,5.8,73.5,5.9,4,5,4.2,Medium,66.9,45.85,No,250000.0
